车牌号,数据类型(1:实时 2:历史),发生时间,服务器时间,定位,经度,纬度
wj003,1,2019-09-30 15:00:17,2019-09-30 15:00:22,定位,114.142302,30.497219
wj003,1,2019-09-30 15:00:47,2019-09-30 15:00:47,定位,114.142302,30.497219
wj003,2,2019-09-30 15:13:20,2019-09-30 15:13:56,定位,114.14284,30.497181
wj003,1,2019-09-30 15:13:50,2019-09-30 15:13:55,定位,114.144565,30.495982
wj003,1,2019-09-30 15:14:20,2019-09-30 15:14:21,定位,114.146647,30.494706
wj003,1,2019-09-30 15:14:50,2019-09-30 15:14:53,定位,114.149061,30.49315
wj003,1,2019-09-30 15:15:20,2019-09-30 15:15:24,定位,114.149206,30.493058
wj003,1,2019-09-30 15:15:50,2019-09-30 15:15:56,定位,114.149206,30.493058
wj003,1,2019-09-30 15:16:20,2019-09-30 15:16:21,定位,114.150378,30.492299
wj003,1,2019-09-30 15:16:50,2019-09-30 15:16:53,定位,114.151025,30.491872
wj003,1,2019-09-30 15:17:20,2019-09-30 15:17:25,定位,114.151721,30.491594
wj003,1,2019-09-30 15:17:50,2019-09-30 15:17:50,定位,114.154016,30.490271
wj003,1,2019-09-30 15:18:20,2019-09-30 15:18:24,定位,114.155176,30.491963
wj003,1,2019-09-30 15:18:50,2019-09-30 15:18:56,定位,114.156556,30.493587
wj003,1,2019-09-30 15:19:20,2019-09-30 15:19:28,定位,114.156556,30.493587
wj003,1,2019-09-30 15:19:50,2019-09-30 15:19:51,定位,114.156556,30.493587
wj003,1,2019-09-30 15:20:20,2019-09-30 15:20:22,定位,114.156556,30.493587
wj003,1,2019-09-30 15:20:50,2019-09-30 15:20:54,定位,114.156556,30.493587
wj003,1,2019-09-30 15:21:20,2019-09-30 15:21:25,定位,114.156556,30.493587
wj003,1,2019-09-30 15:21:50,2019-09-30 15:21:51,定位,114.156556,30.493587
wj003,1,2019-09-30 15:22:20,2019-09-30 15:22:23,定位,114.15756,30.494801
wj003,1,2019-09-30 15:22:50,2019-09-30 15:22:55,定位,114.159165,30.496018
wj003,1,2019-09-30 15:23:20,2019-09-30 15:23:26,定位,114.161161,30.495585
wj003,1,2019-09-30 15:23:50,2019-09-30 15:23:51,定位,114.160759,30.495766
wj003,1,2019-09-30 15:24:20,2019-09-30 15:24:23,定位,114.159046,30.496178
wj003,1,2019-09-30 15:24:50,2019-09-30 15:24:55,定位,114.159046,30.496178
wj003,1,2019-09-30 15:25:20,2019-09-30 15:25:26,定位,114.158466,30.496002
wj003,1,2019-09-30 15:25:50,2019-09-30 15:25:52,定位,114.157106,30.494347
wj003,1,2019-09-30 15:26:20,2019-09-30 15:26:23,定位,114.155418,30.492292
wj003,1,2019-09-30 15:26:50,2019-09-30 15:26:55,定位,114.15377,30.490597
wj003,1,2019-09-30 15:27:20,2019-09-30 15:27:21,定位,114.152132,30.48839
wj003,1,2019-09-30 15:27:50,2019-09-30 15:27:52,定位,114.153101,30.489477
wj003,1,2019-09-30 15:28:20,2019-09-30 15:28:24,定位,114.154256,30.490797
wj003,1,2019-09-30 15:28:50,2019-09-30 15:28:55,定位,114.154567,30.491156
wj003,1,2019-09-30 15:29:20,2019-09-30 15:29:21,定位,114.155443,30.492248
wj003,1,2019-09-30 15:29:50,2019-09-30 15:29:53,定位,114.155443,30.492248
wj003,1,2019-09-30 15:30:20,2019-09-30 15:30:25,定位,114.155443,30.492248
wj003,1,2019-09-30 15:30:50,2019-09-30 15:30:56,定位,114.155443,30.492248
wj003,1,2019-09-30 15:31:20,2019-09-30 15:31:21,定位,114.155443,30.492248
wj003,1,2019-09-30 15:31:50,2019-09-30 15:31:52,定位,114.155443,30.492248
wj003,1,2019-09-30 15:32:20,2019-09-30 15:32:24,定位,114.155443,30.492248
wj003,1,2019-09-30 15:32:50,2019-09-30 15:32:56,定位,114.155443,30.492248
wj003,1,2019-09-30 15:33:20,2019-09-30 15:33:21,定位,114.155443,30.492248
